case,triangle_index,node_1,node_2,node_3,centroid_x,centroid_y,area,minimum_interior_angle_deg,mesh_quality_qc
stochastic_dfn,55,2483,6324,2482,-3.72256020257,-4.70253523308,0.00600698838211,56.3033476732,0.993936516518
stochastic_dfn,56,1204,6349,3641,-4.93479773567,-4.32136438074,0.00405710333455,39.8863917441,0.884025190899
stochastic_dfn,57,1589,6338,1634,-3.8465970805,-4.54997614757,0.00384791073351,50.5799691944,0.951313937782
stochastic_dfn,58,2387,6343,6329,-4.73271973746,-4.84550215978,0.00530839824063,45.5293756383,0.890163503222
stochastic_dfn,59,5218,6349,6325,-4.8552826712,-4.37555433945,0.00382443973573,36.8083550113,0.840235505578
stochastic_dfn,60,3453,6342,6331,-4.15488348764,-4.88772797584,0.0044122473698,47.2527409446,0.932438902088
stochastic_dfn,61,6324,6344,1634,-3.76536074311,-4.58500276732,0.0037197951385,44.0941896876,0.886781472483
stochastic_dfn,62,5219,687,3641,-4.86459739641,-4.25653137787,0.00447903298215,51.951171526,0.984158792058
stochastic_dfn,63,1028,6330,4259,-4.65509199348,-4.52639577654,0.00529177104174,56.570995598,0.997511233087
stochastic_dfn,64,582,6338,1589,-3.8895670882,-4.56781114472,0.00384889977225,46.6741427219,0.944282946319
stochastic_dfn,65,6325,6347,5218,-4.83903168589,-4.41717641166,0.00444532659712,46.7664705211,0.921142312309
stochastic_dfn,66,4825,6332,6326,-4.45275730693,-4.78159860649,0.00526867660288,54.3309500638,0.979233412984
stochastic_dfn,67,6047,6337,6046,-4.41757453391,-4.97467733424,0.00418684432985,48.7832148612,0.965994491268
stochastic_dfn,68,6327,6332,571,-4.49721009669,-4.68648233638,0.00519791390148,56.2915016608,0.989644555442
stochastic_dfn,69,676,6344,4472,-3.70703848345,-4.52080470291,0.00389391409252,42.5025105519,0.9261560155
stochastic_dfn,70,2483,6355,6324,-3.69730469792,-4.64855048748,0.0041043340825,40.8189669566,0.910085632008
stochastic_dfn,71,1543,6335,6334,-4.0302300136,-4.53203538586,0.0050075395766,54.6563252808,0.989323110445
stochastic_dfn,72,1029,4259,4827,-4.58376982244,-4.43716183456,0.00528748535677,54.1908727196,0.991979279018
stochastic_dfn,73,582,6335,3455,-3.98195951386,-4.62572763247,0.0049048714395,52.5529804284,0.983170546886
stochastic_dfn,74,1203,6358,2387,-4.7118313467,-4.94630177137,0.00409534963128,39.934842772,0.896877358529
stochastic_dfn,75,3278,6335,1543,-4.08046369453,-4.55885673507,0.00484770768862,52.9902023937,0.983334567132
stochastic_dfn,76,6043,6348,6325,-4.94385458644,-4.44766140436,0.00330638012176,50.5793797993,0.947390690217
stochastic_dfn,77,6326,6337,4824,-4.40803694627,-4.87299185984,0.00477733379125,49.9248357245,0.943356440333
stochastic_dfn,78,3455,6336,3454,-4.0342902536,-4.723377143,0.00509947733622,47.7863008961,0.965394978052
stochastic_dfn,79,6324,6357,2482,-3.77780542242,-4.70666844565,0.00421745258689,37.5424705197,0.865615364383
stochastic_dfn,80,2482,6357,5339,-3.80787672741,-4.74560790676,0.00399305436984,37.7083626489,0.874409050231
stochastic_dfn,81,2387,6358,6343,-4.70734288535,-4.89779998612,0.00380698573959,41.8702288304,0.920165170946
stochastic_dfn,82,6328,6354,1201,-4.94304969357,-4.60885839175,0.00368387453405,42.310895707,0.924020871659
stochastic_dfn,83,571,6332,4825,-4.44235947832,-4.71839236623,0.00488178395913,59.9343535301,0.999996504
stochastic_dfn,84,6336,6340,3454,-4.08424622738,-4.74446173712,0.00456258367096,47.5754050901,0.951626539886
stochastic_dfn,85,1589,6334,582,-3.9319009932,-4.53396332449,0.00379323182956,57.1860050365,0.998173330278
stochastic_dfn,86,3436,6359,3437,-4.20619627818,-4.42293531158,0.00417527830149,42.8417028846,0.919503634416
stochastic_dfn,87,488,6331,3276,-4.25490740563,-4.90882073632,0.00344336260074,53.2015198089,0.986134811541
stochastic_dfn,88,6329,6351,1798,-4.77442587862,-4.71683222966,0.00317287379925,39.0056952239,0.825882964377
stochastic_dfn,89,489,6336,3278,-4.1272126452,-4.65142608009,0.004475076714,52.6973650168,0.988180584028
stochastic_dfn,90,6048,6331,488,-4.25475010357,-4.95656737152,0.00283801957639,46.9262317225,0.960077001312
stochastic_dfn,91,5219,6349,5218,-4.82654181575,-4.33582396052,0.00351429934172,46.9381607897,0.954269467207
